city,avg_pm25,avg_aqi,high_pollution_count,pollution_rank
Karachi,41.77410277777778,106.3,217,1.0
Tehran,41.62723888888889,102.15,238,2.0
Sydney,41.61733611111111,104.47777777777777,232,3.0
Chennai,41.613775000000004,103.62777777777778,233,4.0
Bangkok,41.42666944444444,105.19166666666666,228,5.0
Doha,41.28815,107.36666666666666,228,6.0
Kuala Lumpur,41.14695555555556,105.00555555555556,238,7.0
Rome,41.14692222222222,105.03333333333333,227,8.0
Moscow,41.10033611111111,106.19722222222222,227,9.0
Riyadh,41.01410277777778,104.77222222222223,228,10.0
Berlin,41.00785833333333,104.42222222222222,222,11.0
Beijing,41.00035833333334,104.41111111111111,233,12.0
Delhi,40.97649722222222,106.44166666666666,227,13.0
Tokyo,40.95506666666667,104.30277777777778,218,14.0
Paris,40.931238888888885,105.76388888888889,232,15.0
New York,40.91777222222222,105.59444444444445,226,16.0
Nairobi,40.91171388888889,104.74722222222222,229,17.0
Lagos,40.88786111111111,106.61666666666666,222,18.0
Houston,40.87342777777778,104.08611111111111,223,19.0
Singapore,40.794238888888884,106.48055555555555,217,20.0
Dubai,40.66903611111111,105.53055555555555,234,21.0
Los Angeles,40.643225,104.47777777777777,231,22.0
Zurich,40.465780555555554,105.72222222222223,229,23.0
Madrid,40.389447222222216,105.4888888888889,222,24.0
Istanbul,40.378286111111116,104.08333333333333,223,25.0
Osaka,40.35004166666666,105.69166666666666,224,26.0
Chicago,40.28811944444445,104.80555555555556,217,27.0
Mexico City,40.276624999999996,105.69722222222222,214,28.0
Kolkata,40.25873055555556,103.525,216,29.0
Seoul,40.24131666666666,105.11944444444444,224,30.0
São Paulo,40.19175555555555,104.31944444444444,223,31.0
Toronto,40.17941111111111,103.64444444444445,222,32.0
Vancouver,40.17873888888889,105.44444444444444,219,33.0
Cairo,40.08130277777778,106.05277777777778,210,34.0
Helsinki,40.018316666666664,105.10833333333333,217,35.0
San Francisco,40.01829722222222,103.45,209,36.0
Melbourne,39.997550000000004,102.44444444444444,224,37.0
Buenos Aires,39.98838055555556,105.95,199,38.0
Cape Town,39.96741388888889,106.15833333333333,223,39.0
Bengaluru,39.90501944444445,102.33333333333333,223,40.0
Mumbai,39.87761388888889,105.39722222222223,214,41.0
Hong Kong,39.72897777777778,103.4888888888889,215,42.0
London,39.693955555555554,103.04444444444445,213,43.0
Auckland,39.660241666666664,104.73055555555555,216,44.0
Ho Chi Minh City,39.311733333333336,101.53611111111111,214,45.0
Jakarta,39.10111388888889,104.31666666666666,215,46.0
Warsaw,38.820969444444444,104.29166666666667,204,47.0
Stockholm,38.462716666666665,102.39166666666667,206,48.0
Manila,38.34164722222222,103.66944444444445,199,49.0
Shanghai,37.959183333333335,101.375,204,50.0
